"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF","12",0.718,0.663,0.634,0.694
2015,"MUNICIPIO","1200013",NA,0.604,NA,NA
2015,"MUNICIPIO","1200054",NA,0.588,NA,NA
2015,"MUNICIPIO","1200104",NA,0.614,NA,NA
2015,"MUNICIPIO","1200138",NA,0.589,NA,NA
2015,"MUNICIPIO","1200179",NA,0.575,NA,NA
2015,"MUNICIPIO","1200203",NA,0.664,NA,NA
2015,"MUNICIPIO","1200252",NA,0.653,NA,NA
2015,"MUNICIPIO","1200302",NA,0.539,NA,NA
2015,"MUNICIPIO","1200328",NA,0.469,NA,NA
2015,"MUNICIPIO","1200336",NA,0.625,NA,NA
2015,"MUNICIPIO","1200344",NA,0.551,NA,NA
2015,"MUNICIPIO","1200351",NA,0.501,NA,NA
2015,"MUNICIPIO","1200385",NA,0.622,NA,NA
2015,"MUNICIPIO","1200807",NA,0.576,NA,NA
2015,"MUNICIPIO","1200393",NA,0.532,NA,NA
2015,"MUNICIPIO","1200401",NA,0.727,NA,NA
2015,"MUNICIPIO","1200427",NA,0.567,NA,NA
2015,"MUNICIPIO","1200435",NA,0.517,NA,NA
2015,"MUNICIPIO","1200500",NA,0.603,NA,NA
2015,"MUNICIPIO","1200450",NA,0.64,NA,NA
2015,"MUNICIPIO","1200609",NA,0.539,NA,NA
2015,"MUNICIPIO","1200708",NA,0.599,NA,NA
