"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF","12","803513",733559,368324,365235,247230,393027,93302,121300,197361,46574
2015,"MUNICIPIO","1200013","13869",12538,6592,5946,4292,6494,1752,2080,3142,724
2015,"MUNICIPIO","1200054","6738",6072,3091,2981,2189,3131,752,1098,1541,342
2015,"MUNICIPIO","1200104","23849",21398,11037,10361,6829,11526,3043,3319,5634,1408
2015,"MUNICIPIO","1200138","9339",8471,4569,3902,2918,4273,1280,1351,2012,539
2015,"MUNICIPIO","1200179","10498",8798,4655,4143,3202,4349,1247,1526,2079,538
2015,"MUNICIPIO","1200203","81519",78507,39220,39287,28136,40952,9419,13885,20544,4858
2015,"MUNICIPIO","1200252","16731",15100,7626,7474,4797,8179,2124,2376,4119,979
2015,"MUNICIPIO","1200302","32385",32412,16716,15696,13382,15673,3357,6591,7482,1623
2015,"MUNICIPIO","1200328","7509",6577,3412,3165,3246,2937,394,1609,1366,190
2015,"MUNICIPIO","1200336","17173",15206,7836,7370,5892,7555,1759,2867,3647,856
2015,"MUNICIPIO","1200344","8641",7981,4255,3726,3208,3889,884,1503,1827,396
2015,"MUNICIPIO","1200351","16895",14227,7463,6764,6716,6527,984,3269,3043,452
2015,"MUNICIPIO","1200385","18159",17209,8999,8210,5962,8647,2600,2945,4142,1123
2015,"MUNICIPIO","1200393","10759",9176,4794,4382,4506,3986,684,2229,1833,320
2015,"MUNICIPIO","1200401","370550",336038,163592,172446,98123,192831,45084,48433,100181,23832
2015,"MUNICIPIO","1200427","16974",14389,7479,6910,6188,6842,1359,3042,3255,613
2015,"MUNICIPIO","1200435","5809",4691,2406,2285,2167,2203,321,1089,1034,162
2015,"MUNICIPIO","1200450","21182",20179,10328,9851,6604,10487,3088,3231,5171,1449
2015,"MUNICIPIO","1200500","41750",38029,19739,18290,13239,20026,4764,6386,9636,2268
2015,"MUNICIPIO","1200609","38819",35590,18353,17237,15047,16823,3720,7362,8084,1791
2015,"MUNICIPIO","1200708","17608",16091,8317,7774,5417,8249,2425,2676,3967,1131
2015,"MUNICIPIO","1200807","16757",14880,7845,7035,5170,7448,2262,2433,3622,980
