"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"UF","12",3517,0,0,507,3010,176,521,849,451,1013,2126,1387,228,0,177,125,52,114,1,38,0,0,109,12,11,1,2,0,8,0,11,10,0,1,1,3,1,2
2015,"MUNICIPIO","120000",4,0,0,2,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120001",56,0,0,10,46,1,7,18,6,14,41,15,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120005",31,0,0,4,27,1,1,10,7,8,21,10,0,0,4,2,2,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120010",115,0,0,17,98,0,13,38,18,29,69,45,6,0,8,6,2,6,1,1,0,0,5,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO","120013",44,0,0,12,32,1,6,5,3,17,30,14,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120017",53,0,0,11,42,1,10,12,4,15,38,15,3,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120020",373,0,0,47,326,18,59,122,38,89,220,153,23,0,15,8,7,5,0,0,0,0,14,1,2,0,0,0,2,0,2,2,0,0,0,1,0,1
2015,"MUNICIPIO","120025",65,0,0,8,57,4,7,17,7,22,42,23,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120030",150,0,0,26,124,4,22,28,23,47,90,60,10,0,14,11,3,12,0,4,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120032",14,0,0,2,12,1,1,2,1,7,10,3,2,0,3,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120033",75,0,0,9,66,2,17,14,8,25,47,28,3,0,4,3,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120034",39,0,0,9,30,3,1,8,7,11,23,16,1,0,3,3,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120035",29,0,0,3,26,3,3,8,5,7,15,14,4,0,3,2,1,4,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO","120038",73,0,0,10,63,5,11,15,7,25,44,29,5,0,5,3,2,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120039",22,0,0,0,22,1,4,4,1,12,13,9,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120040",1731,0,0,249,1482,102,279,394,241,466,1030,701,119,0,68,46,22,33,0,19,0,0,41,0,5,0,1,0,4,0,5,5,0,0,0,2,0,1
2015,"MUNICIPIO","120042",33,0,0,3,30,3,5,6,3,13,21,12,2,0,3,1,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120043",26,0,0,1,25,4,3,1,5,12,14,12,4,0,2,0,2,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120045",110,0,0,16,94,2,12,33,15,32,65,44,10,0,3,3,0,3,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
2015,"MUNICIPIO","120050",170,0,0,26,144,7,22,47,20,48,108,62,9,0,4,3,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120060",169,0,0,28,141,8,17,31,19,66,96,73,13,0,24,20,4,11,0,2,0,0,18,3,1,0,1,0,0,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO","120070",68,0,0,5,63,1,10,25,7,20,43,25,4,0,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","120080",67,0,0,9,58,3,11,11,6,27,44,23,3,0,4,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
