"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"UF",12,16980,0,9176,305,4274,4458,3520,2653,1367,371,26,4,16669,19,24,30,24.84,6.86,637,2451,5197,6063,947,1355,988,285,51,12310,840,3542,13141,4897,12083,16639,281,6,69,191,1885,12659,1034,2151,12659,1034,38,39,40,38.66,2.48,179,5716,1578,1364,4755,4045,12935,10312,6631,13285,616,20,2750,517,5110,914,1647,138,430,281,20,1469,15998,177,482,43,252,8633,8345,991,285,51,12315,840,1296,14377,1091,2935,3250,3575,3226.36,557.39,1010,12058,2088,143,15472,9.26,0.78,184,13489
2015,"MUNICIPIO",120001,217,0,84,2,51,65,40,43,12,4,0,0,215,20,23,30,24.68,6.44,3,22,83,83,4,16,21,8,1,142,0,28,186,69,148,215,2,0,1,7,15,184,6,23,184,6,38,39,40,38.58,2.45,0,55,8,12,73,195,22,130,87,141,7,0,36,4,50,15,18,1,5,2,0,13,217,0,0,0,0,109,108,23,8,1,145,0,11,190,16,2980,3240,3575,3268.87,509.53,13,161,32,5,191,9.04,0.88,2,161
2015,"MUNICIPIO",120005,238,0,164,12,55,64,47,36,17,7,0,0,226,19,23,29.75,24.38,7.1,29,81,70,34,3,13,6,1,0,140,79,41,190,64,174,235,2,0,2,2,26,184,15,30,184,15,38,39,40,38.56,2.54,0,104,24,16,51,148,90,173,65,219,2,0,39,9,91,30,15,0,2,2,0,27,147,63,7,1,20,123,115,6,1,0,140,79,10,213,12,2802.5,3200,3500,3191.43,555.84,21,183,20,2,205,9.16,0.7,2,222
2015,"MUNICIPIO",120010,531,0,422,11,151,135,112,66,40,13,2,1,519,19,23,29,24.4,7,14,77,224,140,29,34,33,9,0,459,14,125,398,176,355,526,4,0,5,3,57,412,35,65,412,35,38,39,40,38.75,2.48,2,129,48,67,215,77,454,260,270,469,22,0,129,4,194,10,71,5,17,4,0,47,523,1,6,0,0,272,259,33,9,0,459,14,41,453,37,2970,3300,3600,3260.43,578.91,34,397,70,4,508,8.95,0.71,1,500
2015,"MUNICIPIO",120013,248,0,110,4,69,74,36,40,20,5,0,0,244,19,23,30,24.5,6.83,7,30,103,87,12,6,10,7,0,194,0,48,195,65,183,242,6,0,0,4,27,197,9,31,197,9,38,39,40,38.68,2.15,0,70,16,22,66,248,0,156,92,168,15,2,38,7,73,10,15,3,10,6,2,19,248,0,0,0,0,125,123,10,7,0,194,0,11,224,13,2918.75,3220,3505,3236.13,477.42,17,179,32,1,236,9.17,0.59,2,168
2015,"MUNICIPIO",120017,219,0,101,4,56,70,41,24,20,4,0,0,215,19,23,28.5,24.28,6.83,8,31,81,72,13,10,13,4,0,171,0,39,178,56,163,219,0,0,0,0,20,177,11,20,177,11,38,39,40,38.97,1.97,3,72,19,22,50,217,2,139,80,146,14,0,27,3,65,13,16,2,12,0,0,14,216,0,2,1,0,124,95,13,4,0,171,0,12,191,16,2990,3280,3608,3303.73,496.96,13,160,33,0,205,9.17,0.57,4,146
2015,"MUNICIPIO",120020,1839,0,1286,32,466,481,379,302,139,38,2,0,1807,19,24,30,24.79,6.84,70,246,469,711,82,172,102,9,3,1312,28,416,1378,686,1153,1785,42,1,9,24,227,1328,135,261,1328,135,38,39,40,38.68,2.72,13,833,153,118,558,31,1808,1063,760,1723,45,1,436,95,536,119,228,13,25,42,1,223,1766,4,55,2,12,909,930,102,9,3,1312,28,144,1548,112,2923.75,3250,3561.25,3213.27,569.81,115,1266,239,17,1751,9.5,0.83,3,1791
2015,"MUNICIPIO",120025,279,0,233,4,83,71,48,43,24,6,0,0,275,19,23,30,24.58,6.85,4,29,119,86,21,16,18,2,0,249,3,40,235,94,185,276,2,1,0,1,30,231,13,32,231,13,38,39,40,38.64,2.33,0,70,41,44,89,277,2,157,122,249,14,0,71,3,102,8,34,4,10,2,0,26,276,1,2,0,0,134,145,18,2,0,249,3,12,251,16,2950,3250,3555,3239.93,534.51,14,220,34,1,270,8.99,0.51,2,266
2015,"MUNICIPIO",120030,772,0,528,25,234,218,131,98,46,16,3,0,746,18,22,28,23.68,6.91,73,192,239,216,11,18,34,8,6,585,114,280,480,75,697,754,13,0,2,8,77,503,66,87,503,66,38,39,40,38.9,2.43,30,381,83,42,104,144,628,609,160,711,28,0,26,14,360,25,95,10,16,13,0,77,649,7,60,9,47,387,385,34,8,6,585,114,51,603,61,3000,3280,3617.5,3268.88,555.66,41,484,109,6,648,9.8,0.73,8,739
2015,"MUNICIPIO",120032,273,0,95,13,89,73,43,30,19,6,0,0,260,18,21,27,23.16,6.99,12,120,88,42,1,2,12,8,0,83,156,58,211,36,237,270,2,0,1,3,26,187,27,30,187,27,38,39,40,38.98,2.67,4,94,14,13,45,67,206,250,21,256,5,0,20,6,159,7,8,1,4,2,0,28,138,0,93,10,5,128,145,12,8,0,83,156,21,197,22,2908.75,3100,3505,3180.35,621.43,18,150,36,2,123,9.24,1.15,4,259
