"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"UF","12",377422,100368
2015,"MUNICIPIO","1200013",4108,NA
2015,"MUNICIPIO","1200054",4411,NA
2015,"MUNICIPIO","1200104",12950,5800
2015,"MUNICIPIO","1200138",3988,NA
2015,"MUNICIPIO","1200179",3837,NA
2015,"MUNICIPIO","1200203",40157,NA
2015,"MUNICIPIO","1200252",10314,NA
2015,"MUNICIPIO","1200302",5564,NA
2015,"MUNICIPIO","1200328",3086,NA
2015,"MUNICIPIO","1200336",10585,NA
2015,"MUNICIPIO","1200344",5726,NA
2015,"MUNICIPIO","1200351",3041,NA
2015,"MUNICIPIO","1200385",7501,11020
2015,"MUNICIPIO","1200807",3582,NA
2015,"MUNICIPIO","1200393",3939,NA
2015,"MUNICIPIO","1200401",202308,83548
2015,"MUNICIPIO","1200427",5368,NA
2015,"MUNICIPIO","1200435",2495,NA
2015,"MUNICIPIO","1200450",7661,NA
2015,"MUNICIPIO","1200500",14618,NA
2015,"MUNICIPIO","1200609",13329,NA
2015,"MUNICIPIO","1200708",8854,NA
